;Longitude;Latitude;Valor_Pressao;Data
92;-42.75;-14.25;1010.5;2017-01-04 20:00:00
93;-42.75;-14.25;1010.6;2017-01-04 21:00:00
94;-42.75;-14.25;1011.15;2017-01-04 22:00:00
95;-42.75;-14.25;1011.53;2017-01-04 23:00:00
96;-42.75;-14.25;1012.11;2017-01-05 00:00:00
97;-42.75;-14.25;1012.54;2017-01-05 01:00:00
98;-42.75;-14.25;1012.95;2017-01-05 02:00:00
99;-42.75;-14.25;1013.43;2017-01-05 03:00:00
100;-42.75;-14.25;1013.45;2017-01-05 04:00:00
101;-42.75;-14.25;1013.44;2017-01-05 05:00:00
102;-42.75;-14.25;1013.43;2017-01-05 06:00:00
103;-42.75;-14.25;1013.86;2017-01-05 07:00:00
104;-42.75;-14.25;1014.26;2017-01-05 08:00:00
105;-42.75;-14.25;1014.98;2017-01-05 09:00:00
106;-42.75;-14.25;1015.99;2017-01-05 10:00:00
107;-42.75;-14.25;1016.02;2017-01-05 11:00:00
108;-42.75;-14.25;1016.04;2017-01-05 12:00:00
109;-42.75;-14.25;1015.79;2017-01-05 13:00:00
110;-42.75;-14.25;1014.95;2017-01-05 14:00:00
111;-42.75;-14.25;1014.31;2017-01-05 15:00:00
112;-42.75;-14.25;1013.26;2017-01-05 16:00:00
113;-42.75;-14.25;1012.39;2017-01-05 17:00:00
114;-42.75;-14.25;1011.23;2017-01-05 18:00:00
115;-42.75;-14.25;1010.93;2017-01-05 19:00:00
116;-42.75;-14.25;1010.45;2017-01-05 20:00:00
117;-42.75;-14.25;1010.87;2017-01-05 21:00:00
118;-42.75;-14.25;1011.37;2017-01-05 22:00:00
119;-42.75;-14.25;1012.12;2017-01-05 23:00:00
120;-42.75;-14.25;1012.09;2017-01-06 00:00:00
121;-42.75;-14.25;1012.4;2017-01-06 01:00:00
122;-42.75;-14.25;1012.55;2017-01-06 02:00:00
123;-42.75;-14.25;1013.3;2017-01-06 03:00:00
124;-42.75;-14.25;1013.25;2017-01-06 04:00:00
125;-42.75;-14.25;1013.37;2017-01-06 05:00:00
126;-42.75;-14.25;1013.6;2017-01-06 06:00:00
127;-42.75;-14.25;1013.9;2017-01-06 07:00:00
128;-42.75;-14.25;1014.18;2017-01-06 08:00:00
129;-42.75;-14.25;1015.1;2017-01-06 09:00:00
130;-42.75;-14.25;1015.7;2017-01-06 10:00:00
131;-42.75;-14.25;1015.52;2017-01-06 11:00:00
132;-42.75;-14.25;1015.27;2017-01-06 12:00:00
133;-42.75;-14.25;1014.51;2017-01-06 13:00:00
134;-42.75;-14.25;1013.93;2017-01-06 14:00:00
135;-42.75;-14.25;1012.69;2017-01-06 15:00:00
