;Longitude;Latitude;Data;Magnitude_Verif;pressao_Verif;Temperatura_Verif;Direcao_Verif
0;-42.75;-14.25;2017-01-01 00:00:00;9.82;884.46;19.35;122.88
1;-42.75;-14.25;2017-01-01 01:00:00;8.74;882.33;18.52;119.2
2;-42.75;-14.25;2017-01-01 02:00:00;8.45;882.0;17.63;120.98
3;-42.75;-14.25;2017-01-01 03:00:00;9.18;882.0;16.92;119.72
4;-42.75;-14.25;2017-01-01 04:00:00;9.19;882.67;16.48;116.72
5;-42.75;-14.25;2017-01-01 05:00:00;9.36;883.0;15.98;117.15
6;-42.75;-14.25;2017-01-01 06:00:00;8.4;883.5;15.8;117.87
7;-42.75;-14.25;2017-01-01 07:00:00;7.4;884.0;16.58;116.68
8;-42.75;-14.25;2017-01-01 08:00:00;7.83;885.0;17.93;115.52
9;-42.75;-14.25;2017-01-01 09:00:00;7.38;885.0;19.05;112.15
10;-42.75;-14.25;2017-01-01 10:00:00;7.1;885.0;20.43;115.05
11;-42.75;-14.25;2017-01-01 11:00:00;6.6;885.0;21.75;111.32
12;-42.75;-14.25;2017-01-01 12:00:00;6.44;884.83;23.08;106.98
13;-42.75;-14.25;2017-01-01 13:00:00;5.56;884.0;24.42;114.5
14;-42.75;-14.25;2017-01-01 14:00:00;5.45;883.5;25.3;103.25
15;-42.75;-14.25;2017-01-01 15:00:00;4.1;883.0;25.98;101.18
16;-42.75;-14.25;2017-01-01 16:00:00;3.74;883.0;26.67;111.98
17;-42.75;-14.25;2017-01-01 17:00:00;3.6;883.0;26.32;115.73
18;-42.75;-14.25;2017-01-01 18:00:00;5.54;883.0;25.82;107.02
19;-42.75;-14.25;2017-01-01 19:00:00;6.07;883.0;25.42;115.2
20;-42.75;-14.25;2017-01-01 20:00:00;5.7;883.0;25.72;112.02
21;-42.75;-14.25;2017-01-01 21:00:00;6.79;884.0;25.72;99.85
22;-42.75;-14.25;2017-01-01 22:00:00;7.78;884.0;24.65;107.95
23;-42.75;-14.25;2017-01-01 23:00:00;8.66;883.17;21.97;105.73
24;-42.75;-14.25;2017-01-02 00:00:00;7.84;882.83;20.98;117.0
25;-42.75;-14.25;2017-01-02 01:00:00;7.73;882.0;20.05;106.7
26;-42.75;-14.25;2017-01-02 02:00:00;7.41;882.0;18.8;115.93
27;-42.75;-14.25;2017-01-02 03:00:00;6.97;881.5;18.12;113.9
28;-42.75;-14.25;2017-01-02 04:00:00;7.18;882.0;17.48;116.82
29;-42.75;-14.25;2017-01-02 05:00:00;6.78;881.83;17.18;114.6
30;-42.75;-14.25;2017-01-02 06:00:00;5.89;882.0;17.15;109.37
31;-42.75;-14.25;2017-01-02 07:00:00;5.66;882.5;17.5;118.05
32;-42.75;-14.25;2017-01-02 08:00:00;4.96;883.0;18.62;111.08
33;-42.75;-14.25;2017-01-02 09:00:00;5.16;883.83;21.03;110.12
34;-42.75;-14.25;2017-01-02 10:00:00;4.95;884.0;22.73;105.02
35;-42.75;-14.25;2017-01-02 11:00:00;4.93;883.83;24.1;115.22
36;-42.75;-14.25;2017-01-02 12:00:00;4.73;883.0;25.38;122.68
37;-42.75;-14.25;2017-01-02 13:00:00;4.46;882.17;26.58;130.72
38;-42.75;-14.25;2017-01-02 14:00:00;4.45;882.0;27.68;130.27
39;-42.75;-14.25;2017-01-02 15:00:00;3.89;881.0;28.18;131.12
40;-42.75;-14.25;2017-01-02 16:00:00;2.92;881.0;28.62;126.35
41;-42.75;-14.25;2017-01-02 17:00:00;2.77;881.0;28.92;122.95
42;-42.75;-14.25;2017-01-02 18:00:00;2.04;881.0;27.57;105.08
43;-42.75;-14.25;2017-01-02 19:00:00;2.14;881.0;27.27;108.37
44;-42.75;-14.25;2017-01-02 20:00:00;4.08;881.0;27.28;106.22
45;-42.75;-14.25;2017-01-02 21:00:00;4.45;881.17;26.88;88.18
46;-42.75;-14.25;2017-01-02 22:00:00;4.81;881.33;25.55;90.15
47;-42.75;-14.25;2017-01-02 23:00:00;6.78;882.0;22.92;102.8
48;-42.75;-14.25;2017-01-03 00:00:00;6.09;881.5;22.22;103.42
49;-42.75;-14.25;2017-01-03 01:00:00;6.36;881.0;21.4;102.98
50;-42.75;-14.25;2017-01-03 02:00:00;5.5;881.0;20.6;111.43
51;-42.75;-14.25;2017-01-03 03:00:00;5.85;881.0;19.33;120.55
52;-42.75;-14.25;2017-01-03 04:00:00;5.7;881.0;18.8;111.75
53;-42.75;-14.25;2017-01-03 05:00:00;4.65;881.33;20.87;89.22
54;-42.75;-14.25;2017-01-03 06:00:00;4.78;882.0;21.53;86.0
55;-42.75;-14.25;2017-01-03 07:00:00;4.17;882.67;21.45;100.0
56;-42.75;-14.25;2017-01-03 08:00:00;3.86;883.0;21.87;102.18
57;-42.75;-14.25;2017-01-03 09:00:00;4.39;883.67;22.8;114.62
58;-42.75;-14.25;2017-01-03 10:00:00;4.12;884.0;23.87;116.75
59;-42.75;-14.25;2017-01-03 11:00:00;4.62;883.17;25.05;125.5
60;-42.75;-14.25;2017-01-03 12:00:00;4.4;883.0;26.32;135.02
61;-42.75;-14.25;2017-01-03 13:00:00;4.5;882.17;27.28;114.1
62;-42.75;-14.25;2017-01-03 14:00:00;4.1;881.83;28.17;125.05
63;-42.75;-14.25;2017-01-03 15:00:00;4.43;881.0;28.73;132.32
64;-42.75;-14.25;2017-01-03 16:00:00;5.94;880.83;28.48;121.38
65;-42.75;-14.25;2017-01-03 17:00:00;6.26;881.0;28.08;116.32
66;-42.75;-14.25;2017-01-03 18:00:00;9.34;880.17;27.37;103.62
67;-42.75;-14.25;2017-01-03 19:00:00;9.23;881.0;26.95;98.57
68;-42.75;-14.25;2017-01-03 20:00:00;8.13;881.0;26.42;87.52
69;-42.75;-14.25;2017-01-03 21:00:00;10.27;882.0;24.72;100.82
70;-42.75;-14.25;2017-01-03 22:00:00;12.43;882.0;23.68;100.97
71;-42.75;-14.25;2017-01-03 23:00:00;11.33;882.0;22.95;100.72
72;-42.75;-14.25;2017-01-04 00:00:00;11.4;882.0;21.88;99.67
73;-42.75;-14.25;2017-01-04 01:00:00;8.25;882.0;20.75;109.38
74;-42.75;-14.25;2017-01-04 02:00:00;6.05;882.0;19.67;112.22
75;-42.75;-14.25;2017-01-04 03:00:00;6.7;882.0;18.82;115.67
76;-42.75;-14.25;2017-01-04 04:00:00;7.93;882.0;18.1;117.03
77;-42.75;-14.25;2017-01-04 05:00:00;7.45;882.17;17.53;118.03
78;-42.75;-14.25;2017-01-04 06:00:00;7.26;883.0;17.28;119.12
79;-42.75;-14.25;2017-01-04 07:00:00;5.62;883.17;17.13;104.22
80;-42.75;-14.25;2017-01-04 08:00:00;6.1;884.0;17.68;102.1
81;-42.75;-14.25;2017-01-04 09:00:00;5.44;884.83;19.47;105.82
82;-42.75;-14.25;2017-01-04 10:00:00;5.96;885.0;20.98;113.23
83;-42.75;-14.25;2017-01-04 11:00:00;6.16;885.0;22.02;116.2
84;-42.75;-14.25;2017-01-04 12:00:00;5.44;884.83;23.03;132.05
85;-42.75;-14.25;2017-01-04 13:00:00;5.46;884.0;24.02;131.37
86;-42.75;-14.25;2017-01-04 14:00:00;6.24;883.83;23.23;122.6
87;-42.75;-14.25;2017-01-04 15:00:00;4.66;883.0;24.58;121.45
88;-42.75;-14.25;2017-01-04 16:00:00;6.16;883.0;25.78;125.92
89;-42.75;-14.25;2017-01-04 17:00:00;6.72;883.0;25.6;115.28
90;-42.75;-14.25;2017-01-04 18:00:00;8.59;882.67;24.5;106.95
91;-42.75;-14.25;2017-01-04 19:00:00;10.65;882.33;23.88;105.12
92;-42.75;-14.25;2017-01-04 20:00:00;10.62;883.0;23.62;104.17
93;-42.75;-14.25;2017-01-04 21:00:00;9.78;883.0;23.6;93.92
94;-42.75;-14.25;2017-01-04 22:00:00;8.1;884.0;23.68;89.63
95;-42.75;-14.25;2017-01-04 23:00:00;6.65;884.0;22.8;94.0
96;-42.75;-14.25;2017-01-05 00:00:00;8.22;883.0;20.68;103.63
97;-42.75;-14.25;2017-01-05 01:00:00;7.03;883.0;19.77;110.23
98;-42.75;-14.25;2017-01-05 02:00:00;8.18;883.0;18.72;111.98
99;-42.75;-14.25;2017-01-05 03:00:00;8.09;883.0;17.93;109.5
100;-42.75;-14.25;2017-01-05 04:00:00;8.56;883.0;17.3;111.03
101;-42.75;-14.25;2017-01-05 05:00:00;8.67;883.67;16.43;118.53
102;-42.75;-14.25;2017-01-05 06:00:00;8.66;884.0;16.05;117.33
103;-42.75;-14.25;2017-01-05 07:00:00;8.2;884.33;16.85;108.43
104;-42.75;-14.25;2017-01-05 08:00:00;9.16;885.0;18.07;97.5
105;-42.75;-14.25;2017-01-05 09:00:00;7.93;885.67;19.72;105.18
106;-42.75;-14.25;2017-01-05 10:00:00;7.48;886.0;21.35;100.97
107;-42.75;-14.25;2017-01-05 11:00:00;6.91;885.33;23.05;109.28
108;-42.75;-14.25;2017-01-05 12:00:00;7.39;885.0;24.25;110.13
109;-42.75;-14.25;2017-01-05 13:00:00;6.77;884.67;25.5;109.52
110;-42.75;-14.25;2017-01-05 14:00:00;6.31;884.0;26.55;124.85
111;-42.75;-14.25;2017-01-05 15:00:00;6.53;883.67;26.77;95.28
112;-42.75;-14.25;2017-01-05 16:00:00;6.59;883.0;27.12;83.78
113;-42.75;-14.25;2017-01-05 17:00:00;6.6;883.0;27.1;109.27
114;-42.75;-14.25;2017-01-05 18:00:00;8.52;883.0;26.38;104.62
115;-42.75;-14.25;2017-01-05 19:00:00;8.88;883.0;26.07;98.83
116;-42.75;-14.25;2017-01-05 20:00:00;8.11;883.0;25.98;93.05
117;-42.75;-14.25;2017-01-05 21:00:00;9.03;883.5;24.73;96.42
118;-42.75;-14.25;2017-01-05 22:00:00;9.43;884.0;22.68;95.37
119;-42.75;-14.25;2017-01-05 23:00:00;8.95;884.0;21.47;94.4
120;-42.75;-14.25;2017-01-06 00:00:00;9.3;883.17;20.72;98.92
121;-42.75;-14.25;2017-01-06 01:00:00;6.32;883.0;19.85;116.45
122;-42.75;-14.25;2017-01-06 02:00:00;5.23;883.0;18.25;135.52
123;-42.75;-14.25;2017-01-06 03:00:00;5.27;883.0;17.42;135.75
124;-42.75;-14.25;2017-01-06 04:00:00;5.65;883.0;16.7;134.5
125;-42.75;-14.25;2017-01-06 05:00:00;5.36;883.83;16.22;125.8
126;-42.75;-14.25;2017-01-06 06:00:00;6.31;884.0;16.0;116.88
127;-42.75;-14.25;2017-01-06 07:00:00;4.74;884.0;16.27;112.42
128;-42.75;-14.25;2017-01-06 08:00:00;4.77;884.83;17.4;105.45
129;-42.75;-14.25;2017-01-06 09:00:00;6.48;885.0;19.03;111.82
130;-42.75;-14.25;2017-01-06 10:00:00;6.61;885.0;20.4;113.47
131;-42.75;-14.25;2017-01-06 11:00:00;7.5;884.5;21.9;120.02
132;-42.75;-14.25;2017-01-06 12:00:00;8.54;884.0;23.15;120.82
133;-42.75;-14.25;2017-01-06 13:00:00;7.88;883.67;24.05;114.92
134;-42.75;-14.25;2017-01-06 14:00:00;8.01;883.0;24.87;119.72
135;-42.75;-14.25;2017-01-06 15:00:00;8.1;883.0;25.45;122.53
136;-42.75;-14.25;2017-01-06 16:00:00;8.2;882.67;25.38;118.4
137;-42.75;-14.25;2017-01-06 17:00:00;6.88;882.0;24.82;117.58
138;-42.75;-14.25;2017-01-06 18:00:00;7.82;882.17;24.45;123.1
139;-42.75;-14.25;2017-01-06 19:00:00;8.03;883.0;23.62;90.12
140;-42.75;-14.25;2017-01-06 20:00:00;9.46;883.0;23.08;99.47
141;-42.75;-14.25;2017-01-06 21:00:00;8.7;883.0;22.32;116.53
142;-42.75;-14.25;2017-01-06 22:00:00;8.09;883.0;21.53;110.23
143;-42.75;-14.25;2017-01-06 23:00:00;8.53;883.0;20.4;120.32
144;-42.75;-14.25;2017-01-07 00:00:00;6.86;883.0;19.15;122.3
145;-42.75;-14.25;2017-01-07 01:00:00;8.04;883.0;18.68;102.65
146;-42.75;-14.25;2017-01-07 02:00:00;7.01;882.17;18.17;89.22
147;-42.75;-14.25;2017-01-07 03:00:00;8.79;882.5;17.48;100.27
148;-42.75;-14.25;2017-01-07 04:00:00;7.66;883.0;16.58;104.6
149;-42.75;-14.25;2017-01-07 05:00:00;7.35;883.67;15.92;109.35
150;-42.75;-14.25;2017-01-07 06:00:00;10.75;884.0;15.52;104.73
151;-42.75;-14.25;2017-01-07 07:00:00;11.18;884.5;16.35;102.27
152;-42.75;-14.25;2017-01-07 08:00:00;9.73;885.17;17.58;95.92
153;-42.75;-14.25;2017-01-07 09:00:00;9.01;886.0;18.97;103.55
154;-42.75;-14.25;2017-01-07 10:00:00;7.8;886.0;20.1;102.38
155;-42.75;-14.25;2017-01-07 11:00:00;7.37;885.0;21.45;95.32
156;-42.75;-14.25;2017-01-07 12:00:00;6.8;884.5;23.08;108.65
157;-42.75;-14.25;2017-01-07 13:00:00;6.58;883.83;24.47;111.27
158;-42.75;-14.25;2017-01-07 14:00:00;7.48;883.17;25.33;117.65
159;-42.75;-14.25;2017-01-07 15:00:00;7.53;883.0;26.05;115.37
160;-42.75;-14.25;2017-01-07 16:00:00;7.69;883.0;26.18;111.25
161;-42.75;-14.25;2017-01-07 17:00:00;7.88;882.83;25.88;113.5
162;-42.75;-14.25;2017-01-07 18:00:00;9.16;882.67;25.22;104.18
163;-42.75;-14.25;2017-01-07 19:00:00;9.04;883.0;24.3;98.43
164;-42.75;-14.25;2017-01-07 20:00:00;8.48;883.0;23.05;86.32
165;-42.75;-14.25;2017-01-07 21:00:00;7.67;883.0;21.7;83.22
166;-42.75;-14.25;2017-01-07 22:00:00;7.83;883.83;20.53;81.1
167;-42.75;-14.25;2017-01-07 23:00:00;8.81;883.17;19.3;79.07
168;-42.75;-14.25;2017-01-08 00:00:00;8.94;883.0;18.55;89.47
169;-42.75;-14.25;2017-01-08 01:00:00;7.77;883.0;18.02;99.52
170;-42.75;-14.25;2017-01-08 02:00:00;6.65;883.0;17.2;112.28
171;-42.75;-14.25;2017-01-08 03:00:00;7.03;883.0;16.85;114.98
172;-42.75;-14.25;2017-01-08 04:00:00;9.48;883.0;16.43;116.23
173;-42.75;-14.25;2017-01-08 05:00:00;9.53;883.33;15.8;114.77
174;-42.75;-14.25;2017-01-08 06:00:00;7.71;884.0;15.73;112.27
175;-42.75;-14.25;2017-01-08 07:00:00;5.43;884.17;16.8;102.42
176;-42.75;-14.25;2017-01-08 08:00:00;7.17;884.67;17.78;103.38
177;-42.75;-14.25;2017-01-08 09:00:00;8.13;884.0;18.97;97.17
178;-42.75;-14.25;2017-01-08 10:00:00;6.55;884.0;20.12;99.27
179;-42.75;-14.25;2017-01-08 11:00:00;6.26;883.83;21.53;106.65
180;-42.75;-14.25;2017-01-08 12:00:00;5.67;883.0;22.67;101.98
181;-42.75;-14.25;2017-01-08 13:00:00;6.02;882.5;23.67;89.67
182;-42.75;-14.25;2017-01-08 14:00:00;6.76;882.0;24.6;100.13
183;-42.75;-14.25;2017-01-08 15:00:00;6.26;881.0;24.97;104.92
184;-42.75;-14.25;2017-01-08 16:00:00;6.75;881.0;25.22;100.32
185;-42.75;-14.25;2017-01-08 17:00:00;7.37;881.0;25.12;92.3
186;-42.75;-14.25;2017-01-08 18:00:00;6.6;881.67;24.33;84.67
187;-42.75;-14.25;2017-01-08 19:00:00;5.66;882.0;23.88;80.95
188;-42.75;-14.25;2017-01-08 20:00:00;6.97;882.0;23.17;90.38
189;-42.75;-14.25;2017-01-08 21:00:00;6.73;882.33;21.88;78.42
190;-42.75;-14.25;2017-01-08 22:00:00;6.73;883.0;20.3;81.72
191;-42.75;-14.25;2017-01-08 23:00:00;7.96;883.0;19.28;108.3
192;-42.75;-14.25;2017-01-09 00:00:00;8.23;882.67;18.4;122.43
193;-42.75;-14.25;2017-01-09 01:00:00;8.94;882.0;17.78;118.83
194;-42.75;-14.25;2017-01-09 02:00:00;7.89;881.83;17.35;116.6
195;-42.75;-14.25;2017-01-09 03:00:00;7.61;881.5;17.0;121.4
196;-42.75;-14.25;2017-01-09 04:00:00;7.44;882.0;16.78;123.35
197;-42.75;-14.25;2017-01-09 05:00:00;7.79;882.0;16.58;120.8
198;-42.75;-14.25;2017-01-09 06:00:00;8.18;882.83;16.47;121.07
199;-42.75;-14.25;2017-01-09 07:00:00;7.71;883.0;16.73;119.38
200;-42.75;-14.25;2017-01-09 08:00:00;6.98;883.67;18.1;111.4
201;-42.75;-14.25;2017-01-09 09:00:00;6.8;884.0;19.33;113.85
202;-42.75;-14.25;2017-01-09 10:00:00;6.44;884.0;20.95;118.62
203;-42.75;-14.25;2017-01-09 11:00:00;5.64;884.0;22.57;128.4
204;-42.75;-14.25;2017-01-09 12:00:00;4.68;883.17;24.13;129.6
205;-42.75;-14.25;2017-01-09 13:00:00;4.41;882.5;25.72;151.3
206;-42.75;-14.25;2017-01-09 14:00:00;4.77;881.83;26.43;177.77
207;-42.75;-14.25;2017-01-09 15:00:00;5.1;881.0;26.83;140.98
208;-42.75;-14.25;2017-01-09 16:00:00;4.17;881.0;27.0;139.1
209;-42.75;-14.25;2017-01-09 17:00:00;2.82;881.0;26.95;109.73
210;-42.75;-14.25;2017-01-09 18:00:00;2.66;881.0;26.2;80.22
211;-42.75;-14.25;2017-01-09 19:00:00;4.08;881.0;26.05;93.22
212;-42.75;-14.25;2017-01-09 20:00:00;4.29;881.67;25.95;99.55
213;-42.75;-14.25;2017-01-09 21:00:00;4.39;882.0;25.88;115.98
214;-42.75;-14.25;2017-01-09 22:00:00;4.78;882.0;25.48;124.3
215;-42.75;-14.25;2017-01-09 23:00:00;7.27;882.0;22.6;143.3
