;Longitude;Latitude;Data;pressao_Verif
95;-42.75;-14.25;2017-01-04 23:00:00;884.0
96;-42.75;-14.25;2017-01-05 00:00:00;883.0
97;-42.75;-14.25;2017-01-05 01:00:00;883.0
98;-42.75;-14.25;2017-01-05 02:00:00;883.0
99;-42.75;-14.25;2017-01-05 03:00:00;883.0
100;-42.75;-14.25;2017-01-05 04:00:00;883.0
101;-42.75;-14.25;2017-01-05 05:00:00;883.67
102;-42.75;-14.25;2017-01-05 06:00:00;884.0
103;-42.75;-14.25;2017-01-05 07:00:00;884.33
104;-42.75;-14.25;2017-01-05 08:00:00;885.0
105;-42.75;-14.25;2017-01-05 09:00:00;885.67
106;-42.75;-14.25;2017-01-05 10:00:00;886.0
107;-42.75;-14.25;2017-01-05 11:00:00;885.33
108;-42.75;-14.25;2017-01-05 12:00:00;885.0
109;-42.75;-14.25;2017-01-05 13:00:00;884.67
110;-42.75;-14.25;2017-01-05 14:00:00;884.0
111;-42.75;-14.25;2017-01-05 15:00:00;883.67
112;-42.75;-14.25;2017-01-05 16:00:00;883.0
113;-42.75;-14.25;2017-01-05 17:00:00;883.0
114;-42.75;-14.25;2017-01-05 18:00:00;883.0
115;-42.75;-14.25;2017-01-05 19:00:00;883.0
116;-42.75;-14.25;2017-01-05 20:00:00;883.0
117;-42.75;-14.25;2017-01-05 21:00:00;883.5
118;-42.75;-14.25;2017-01-05 22:00:00;884.0
119;-42.75;-14.25;2017-01-05 23:00:00;884.0
120;-42.75;-14.25;2017-01-06 00:00:00;883.17
121;-42.75;-14.25;2017-01-06 01:00:00;883.0
122;-42.75;-14.25;2017-01-06 02:00:00;883.0
123;-42.75;-14.25;2017-01-06 03:00:00;883.0
124;-42.75;-14.25;2017-01-06 04:00:00;883.0
125;-42.75;-14.25;2017-01-06 05:00:00;883.83
126;-42.75;-14.25;2017-01-06 06:00:00;884.0
127;-42.75;-14.25;2017-01-06 07:00:00;884.0
128;-42.75;-14.25;2017-01-06 08:00:00;884.83
129;-42.75;-14.25;2017-01-06 09:00:00;885.0
130;-42.75;-14.25;2017-01-06 10:00:00;885.0
131;-42.75;-14.25;2017-01-06 11:00:00;884.5
132;-42.75;-14.25;2017-01-06 12:00:00;884.0
133;-42.75;-14.25;2017-01-06 13:00:00;883.67
134;-42.75;-14.25;2017-01-06 14:00:00;883.0
135;-42.75;-14.25;2017-01-06 15:00:00;883.0
136;-42.75;-14.25;2017-01-06 16:00:00;882.67
137;-42.75;-14.25;2017-01-06 17:00:00;882.0
138;-42.75;-14.25;2017-01-06 18:00:00;882.17
139;-42.75;-14.25;2017-01-06 19:00:00;883.0
140;-42.75;-14.25;2017-01-06 20:00:00;883.0
141;-42.75;-14.25;2017-01-06 21:00:00;883.0
142;-42.75;-14.25;2017-01-06 22:00:00;883.0
143;-42.75;-14.25;2017-01-06 23:00:00;883.0
144;-42.75;-14.25;2017-01-07 00:00:00;883.0
145;-42.75;-14.25;2017-01-07 01:00:00;883.0
146;-42.75;-14.25;2017-01-07 02:00:00;882.17
147;-42.75;-14.25;2017-01-07 03:00:00;882.5
148;-42.75;-14.25;2017-01-07 04:00:00;883.0
149;-42.75;-14.25;2017-01-07 05:00:00;883.67
150;-42.75;-14.25;2017-01-07 06:00:00;884.0
151;-42.75;-14.25;2017-01-07 07:00:00;884.5
152;-42.75;-14.25;2017-01-07 08:00:00;885.17
153;-42.75;-14.25;2017-01-07 09:00:00;886.0
154;-42.75;-14.25;2017-01-07 10:00:00;886.0
155;-42.75;-14.25;2017-01-07 11:00:00;885.0
156;-42.75;-14.25;2017-01-07 12:00:00;884.5
157;-42.75;-14.25;2017-01-07 13:00:00;883.83
158;-42.75;-14.25;2017-01-07 14:00:00;883.17
159;-42.75;-14.25;2017-01-07 15:00:00;883.0
160;-42.75;-14.25;2017-01-07 16:00:00;883.0
161;-42.75;-14.25;2017-01-07 17:00:00;882.83
162;-42.75;-14.25;2017-01-07 18:00:00;882.67
163;-42.75;-14.25;2017-01-07 19:00:00;883.0
164;-42.75;-14.25;2017-01-07 20:00:00;883.0
165;-42.75;-14.25;2017-01-07 21:00:00;883.0
166;-42.75;-14.25;2017-01-07 22:00:00;883.83
167;-42.75;-14.25;2017-01-07 23:00:00;883.17
168;-42.75;-14.25;2017-01-08 00:00:00;883.0
169;-42.75;-14.25;2017-01-08 01:00:00;883.0
170;-42.75;-14.25;2017-01-08 02:00:00;883.0
171;-42.75;-14.25;2017-01-08 03:00:00;883.0
172;-42.75;-14.25;2017-01-08 04:00:00;883.0
173;-42.75;-14.25;2017-01-08 05:00:00;883.33
174;-42.75;-14.25;2017-01-08 06:00:00;884.0
175;-42.75;-14.25;2017-01-08 07:00:00;884.17
176;-42.75;-14.25;2017-01-08 08:00:00;884.67
177;-42.75;-14.25;2017-01-08 09:00:00;884.0
178;-42.75;-14.25;2017-01-08 10:00:00;884.0
179;-42.75;-14.25;2017-01-08 11:00:00;883.83
180;-42.75;-14.25;2017-01-08 12:00:00;883.0
181;-42.75;-14.25;2017-01-08 13:00:00;882.5
182;-42.75;-14.25;2017-01-08 14:00:00;882.0
183;-42.75;-14.25;2017-01-08 15:00:00;881.0
184;-42.75;-14.25;2017-01-08 16:00:00;881.0
185;-42.75;-14.25;2017-01-08 17:00:00;881.0
186;-42.75;-14.25;2017-01-08 18:00:00;881.67
187;-42.75;-14.25;2017-01-08 19:00:00;882.0
188;-42.75;-14.25;2017-01-08 20:00:00;882.0
189;-42.75;-14.25;2017-01-08 21:00:00;882.33
190;-42.75;-14.25;2017-01-08 22:00:00;883.0
191;-42.75;-14.25;2017-01-08 23:00:00;883.0
192;-42.75;-14.25;2017-01-09 00:00:00;882.67
193;-42.75;-14.25;2017-01-09 01:00:00;882.0
194;-42.75;-14.25;2017-01-09 02:00:00;881.83
195;-42.75;-14.25;2017-01-09 03:00:00;881.5
196;-42.75;-14.25;2017-01-09 04:00:00;882.0
197;-42.75;-14.25;2017-01-09 05:00:00;882.0
198;-42.75;-14.25;2017-01-09 06:00:00;882.83
199;-42.75;-14.25;2017-01-09 07:00:00;883.0
200;-42.75;-14.25;2017-01-09 08:00:00;883.67
201;-42.75;-14.25;2017-01-09 09:00:00;884.0
202;-42.75;-14.25;2017-01-09 10:00:00;884.0
203;-42.75;-14.25;2017-01-09 11:00:00;884.0
204;-42.75;-14.25;2017-01-09 12:00:00;883.17
205;-42.75;-14.25;2017-01-09 13:00:00;882.5
206;-42.75;-14.25;2017-01-09 14:00:00;881.83
207;-42.75;-14.25;2017-01-09 15:00:00;881.0
208;-42.75;-14.25;2017-01-09 16:00:00;881.0
209;-42.75;-14.25;2017-01-09 17:00:00;881.0
210;-42.75;-14.25;2017-01-09 18:00:00;881.0
211;-42.75;-14.25;2017-01-09 19:00:00;881.0
212;-42.75;-14.25;2017-01-09 20:00:00;881.67
213;-42.75;-14.25;2017-01-09 21:00:00;882.0
214;-42.75;-14.25;2017-01-09 22:00:00;882.0
215;-42.75;-14.25;2017-01-09 23:00:00;882.0
216;-42.75;-14.25;2017-01-10 00:00:00;882.0
217;-42.75;-14.25;2017-01-10 01:00:00;881.0
218;-42.75;-14.25;2017-01-10 02:00:00;881.0
219;-42.75;-14.25;2017-01-10 03:00:00;881.0
220;-42.75;-14.25;2017-01-10 04:00:00;881.0
221;-42.75;-14.25;2017-01-10 05:00:00;881.0
222;-42.75;-14.25;2017-01-10 06:00:00;881.5
223;-42.75;-14.25;2017-01-10 07:00:00;882.0
224;-42.75;-14.25;2017-01-10 08:00:00;882.0
225;-42.75;-14.25;2017-01-10 09:00:00;882.0
226;-42.75;-14.25;2017-01-10 10:00:00;882.0
227;-42.75;-14.25;2017-01-10 11:00:00;882.0
228;-42.75;-14.25;2017-01-10 12:00:00;882.0
229;-42.75;-14.25;2017-01-10 13:00:00;881.5
230;-42.75;-14.25;2017-01-10 14:00:00;881.0
231;-42.75;-14.25;2017-01-10 15:00:00;880.0
232;-42.75;-14.25;2017-01-10 16:00:00;880.0
233;-42.75;-14.25;2017-01-10 17:00:00;880.0
234;-42.75;-14.25;2017-01-10 18:00:00;880.0
235;-42.75;-14.25;2017-01-10 19:00:00;880.0
236;-42.75;-14.25;2017-01-10 20:00:00;880.5
237;-42.75;-14.25;2017-01-10 21:00:00;881.17
238;-42.75;-14.25;2017-01-10 22:00:00;881.67
239;-42.75;-14.25;2017-01-10 23:00:00;882.0
240;-42.75;-14.25;2017-01-11 00:00:00;881.83
241;-42.75;-14.25;2017-01-11 01:00:00;881.0
242;-42.75;-14.25;2017-01-11 02:00:00;880.67
243;-42.75;-14.25;2017-01-11 03:00:00;880.0
244;-42.75;-14.25;2017-01-11 04:00:00;880.83
245;-42.75;-14.25;2017-01-11 05:00:00;880.67
246;-42.75;-14.25;2017-01-11 06:00:00;881.17
247;-42.75;-14.25;2017-01-11 07:00:00;882.33
248;-42.75;-14.25;2017-01-11 08:00:00;883.17
249;-42.75;-14.25;2017-01-11 09:00:00;884.0
250;-42.75;-14.25;2017-01-11 10:00:00;884.0
251;-42.75;-14.25;2017-01-11 11:00:00;883.83
252;-42.75;-14.25;2017-01-11 12:00:00;883.0
253;-42.75;-14.25;2017-01-11 13:00:00;882.5
254;-42.75;-14.25;2017-01-11 14:00:00;881.5
255;-42.75;-14.25;2017-01-11 15:00:00;880.67
256;-42.75;-14.25;2017-01-11 16:00:00;880.0
257;-42.75;-14.25;2017-01-11 17:00:00;880.0
